Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
108,2,86,15,0.06262517151186678,41,12,8,39,0.8,0.2,0.8367346938775511,0.23529411764705882,0.7647058823529411,0.7735849056603774
109,2,96,12,0.08602806339372909,46,7,3,44,0.9,0.1,0.9387755102040817,0.13725490196078433,0.8627450980392157,0.8679245283018868
110,2,199,24,0.1396330286358406,46,11,7,36,0.82,0.18,0.8679245283018868,0.23404255319148937,0.7659574468085106,0.8070175438596491
111,2,129,11,0.19045287022959556,40,6,17,37,0.77,0.23,0.7017543859649122,0.13953488372093023,0.8604651162790697,0.8695652173913043
112,2,168,24,0.12712698396655522,36,12,10,42,0.78,0.22,0.782608695652174,0.2222222222222222,0.7777777777777778,0.75
113,2,183,13,0.14886384991558116,36,12,9,43,0.79,0.21,0.8,0.21818181818181817,0.7818181818181819,0.75
114,2,144,16,0.2256933741799939,32,14,17,37,0.69,0.31,0.6530612244897959,0.27450980392156865,0.7254901960784313,0.6956521739130435
115,2,104,10,0.07852754752519994,53,6,9,32,0.85,0.15,0.8548387096774194,0.15789473684210525,0.8421052631578947,0.8983050847457628
116,2,191,15,0.005284843192260136,39,0,0,61,1.0,0.0,1.0,0.0,1.0,1.0
117,2,181,4,0.09591955085064566,44,13,9,34,0.78,0.22,0.8301886792452831,0.2765957446808511,0.723404255319149,0.7719298245614035
118,2,144,3,0.09028745910922467,32,9,12,47,0.79,0.21,0.7272727272727273,0.16071428571428573,0.8392857142857143,0.7804878048780488
119,2,13,2,0.14226703539723332,40,10,16,34,0.74,0.26,0.7142857142857143,0.22727272727272727,0.7727272727272727,0.8
120,2,151,9,0.09499924572856083,39,8,8,45,0.84,0.16,0.8297872340425532,0.1509433962264151,0.8490566037735849,0.8297872340425532
121,2,68,9,0.008252937110534625,36,1,1,62,0.98,0.02,0.972972972972973,0.015873015873015872,0.9841269841269841,0.972972972972973
122,2,129,3,0.017665728079638288,39,3,4,54,0.93,0.07,0.9069767441860465,0.05263157894736842,0.9473684210526315,0.9285714285714286
123,2,111,23,0.07040327454285386,53,8,3,36,0.89,0.11,0.9464285714285714,0.18181818181818182,0.8181818181818182,0.8688524590163934
124,2,21,24,0.18479076286237828,35,13,6,46,0.81,0.19,0.8536585365853658,0.22033898305084745,0.7796610169491526,0.7291666666666666
125,2,157,20,0.2378787151503452,22,14,22,42,0.64,0.36,0.5,0.25,0.75,0.6111111111111112
126,2,95,16,0.1819293879881392,46,12,15,27,0.73,0.27,0.7540983606557377,0.3076923076923077,0.6923076923076923,0.7931034482758621
127,2,187,22,0.2287657548014094,22,15,20,43,0.65,0.35,0.5238095238095238,0.25862068965517243,0.7413793103448276,0.5945945945945946
