Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
7,1,5000,100,0.501,367,336,124,173,0.54,0.46,0.7474541751527495,0.6601178781925344,0.33988212180746563,0.5220483641536273
8,1,5000,100,0.501,152,93,363,392,0.544,0.456,0.29514563106796116,0.19175257731958764,0.8082474226804124,0.6204081632653061
9,1,5000,100,0.501,287,274,185,254,0.541,0.459,0.6080508474576272,0.5189393939393939,0.4810606060606061,0.5115864527629234
10,1,5000,100,0.501,325,249,180,246,0.571,0.429,0.6435643564356436,0.503030303030303,0.49696969696969695,0.5662020905923345
11,1,5000,100,0.501,255,236,239,270,0.525,0.475,0.5161943319838057,0.466403162055336,0.5335968379446641,0.5193482688391039
12,1,5000,100,0.501,326,266,183,225,0.551,0.449,0.6404715127701375,0.5417515274949084,0.45824847250509165,0.5506756756756757
13,1,5000,100,0.501,276,196,226,302,0.578,0.422,0.549800796812749,0.39357429718875503,0.606425702811245,0.5847457627118644
14,1,5000,100,0.501,149,99,342,410,0.559,0.441,0.3034623217922607,0.1944990176817289,0.8055009823182712,0.6008064516129032
0,1,5000,100,0.601,275,215,224,286,0.561,0.439,0.5511022044088176,0.4291417165668663,0.5708582834331337,0.5612244897959183
1,1,5000,100,0.601,292,245,191,272,0.564,0.436,0.6045548654244306,0.4738878143133462,0.5261121856866537,0.5437616387337058
2,1,5000,100,0.601,380,371,76,173,0.553,0.447,0.8333333333333334,0.6819852941176471,0.3180147058823529,0.5059920106524634
3,1,5000,100,0.601,363,339,118,180,0.543,0.457,0.7546777546777547,0.653179190751445,0.3468208092485549,0.5170940170940171
4,1,5000,100,0.601,307,230,200,263,0.57,0.43,0.6055226824457594,0.4665314401622718,0.5334685598377282,0.5716945996275605
5,1,5000,100,0.601,406,325,110,159,0.565,0.435,0.7868217054263565,0.6714876033057852,0.3285123966942149,0.5554035567715458
