TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
2,1,100,9,0.310393408103,0.04795256289204283
3,1,100,9,0.298142305358,0.05856560032812518
4,1,100,9,0.311631761318,0.05352974091425214
5,1,100,9,0.301957016335,0.051671381634853936
6,1,100,9,0.296156229883,0.04874361951070304
7,1,100,9,0.295791304766,0.05798754118735824
8,1,100,9,0.297093195079,0.05316735477749921
9,1,100,9,0.299087320226,0.04459816031903713
10,1,100,9,0.312648129191,0.04524331205285575
11,1,100,9,0.301129194899,0.04479180587472365
12,1,100,9,0.315840759252,0.050674780017280985
13,1,100,9,0.30454726704,0.05361652464376386
14,1,100,9,0.308325441444,0.04507162779372108
15,1,100,9,0.307397242627,0.052911200684096625
16,1,100,9,0.289912321055,0.06191023568426255
17,1,100,9,0.308208539266,0.0450598236736726
18,1,100,9,0.309037964012,0.050262054416214036
19,1,100,9,0.31451228479,0.05054261501700961
20,1,100,9,0.292091629417,0.05636737034518511
21,1,100,9,0.298359249908,0.049571673371201455
22,1,100,9,0.298937837785,0.04882284486205424
23,1,100,9,0.292337150098,0.04322771176274691
24,1,100,9,0.301157275968,0.05188605464125084
0,1,100,10,0.327594513668,0.0566037062020557
1,1,100,10,0.327265087979,0.049271899028568066
2,1,100,10,0.321292941915,0.053000536680349666
3,1,100,10,0.330601990254,0.05871755310873374
4,1,100,10,0.321581673269,0.06590780533742487
5,1,100,10,0.325007839962,0.05543117538922265
6,1,100,10,0.340802382073,0.0633528556288511
7,1,100,10,0.32527751908,0.04635553051798186
8,1,100,10,0.327772437292,0.05895843988464147
9,1,100,10,0.322990061709,0.04666562935380305
10,1,100,10,0.327542978594,0.05615214274731593
11,1,100,10,0.32965498311,0.05136376602611068
12,1,100,10,0.331403274849,0.045827042101141476
13,1,100,10,0.318548673817,0.05024070566628699
14,1,100,10,0.320111850098,0.055247245672319124
15,1,100,10,0.342432729395,0.048083114359328924
16,1,100,10,0.331654168413,0.05788188182236947
17,1,100,10,0.320585951177,0.05307592936779463
18,1,100,10,0.323829700386,0.057247567076955864
19,1,100,10,0.320172739305,0.05230271858203433
20,1,100,10,0.323201374638,0.047144977299634426
21,1,100,10,0.321906183834,0.0592348668828916
22,1,100,10,0.325346000626,0.04705710061602394
23,1,100,10,0.328684628539,0.051748301122673396
24,1,100,10,0.32893604306,0.05257914658240465
0,1,100,20,0.465807067376,0.04570754120498817
1,1,100,20,0.459494324081,0.044357078635423264
2,1,100,20,0.461006991037,0.04614662737735251
3,1,100,20,0.460590035339,0.03722136793658185
4,1,100,20,0.470958517734,0.04148469687695017
5,1,100,20,0.474272758174,0.04277626014594765
6,1,100,20,0.459383781039,0.052767132445135645
7,1,100,20,0.464684078806,0.05193092447656043
8,1,100,20,0.461677408355,0.04367668010429605
9,1,100,20,0.462854522399,0.043694903197072456
10,1,100,20,0.455251308283,0.05451083244023182
11,1,100,20,0.469708279367,0.04466238581104157
12,1,100,20,0.451435514508,0.048986126852783425
13,1,100,20,0.464563563004,0.04342125960590205
14,1,100,20,0.463243517798,0.04728896315951782
15,1,100,20,0.46247459842,0.04298011785018513
16,1,100,20,0.463675850518,0.04130728773136767
17,1,100,20,0.446569097586,0.050392688618102185
18,1,100,20,0.460711939795,0.038317372092596745
19,1,100,20,0.469712041075,0.04968751684103629
20,1,100,20,0.463848877332,0.039598986513102036
21,1,100,20,0.46074145393,0.05146222750289024
22,1,100,20,0.456529379976,0.04476253565789784
23,1,100,20,0.471644580699,0.04319791680621116
24,1,100,20,0.46479395984,0.046874571096306196
0,1,100,30,0.527920264412,0.04210864562105956
1,1,100,30,0.533199812759,0.041210058905181306
2,1,100,30,0.54407064062,0.04479343340245845
3,1,100,30,0.535801105758,0.042653673949682516
4,1,100,30,0.528202354287,0.04912985413509152
5,1,100,30,0.529530576123,0.046532801614255825
6,1,100,30,0.536878004475,0.04172125896868521
7,1,100,30,0.548751354902,0.036345491287271194
8,1,100,30,0.539486112646,0.04260954001407966
9,1,100,30,0.527524878017,0.050758690872792
10,1,100,30,0.544344277964,0.041153712575407016
11,1,100,30,0.541657596784,0.04787254618503595
12,1,100,30,0.538932726306,0.05073656258640984
13,1,100,30,0.534913198139,0.04438735338446862
14,1,100,30,0.544940078479,0.04592882447597561
15,1,100,30,0.543458700519,0.04279179855797557
16,1,100,30,0.53206687307,0.050274447889024215
