TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
11,1,1000,50,0.532538752626,0.02709454697228501
12,1,1000,50,0.536068351383,0.026719568578558082
13,1,1000,50,0.532592485492,0.027794347129471368
14,1,1000,50,0.536852442996,0.025982504602381804
15,1,1000,50,0.536297518033,0.025235236741257907
16,1,1000,50,0.537826502371,0.026605982586877644
17,1,1000,50,0.536102899044,0.026350764060055907
18,1,1000,50,0.536198329823,0.02730802298781883
19,1,1000,50,0.535809705226,0.026850605386766643
20,1,1000,50,0.53420144766,0.02755928342240017
21,1,1000,50,0.534282403865,0.026964957667082963
22,1,1000,50,0.536270982871,0.02781271754925224
23,1,1000,50,0.534877771748,0.02714284017496217
24,1,1000,50,0.53532958141,0.026873854109460787
0,1,1000,60,0.565137495047,0.026798148135552126
1,1,1000,60,0.568842324264,0.025185137633972378
2,1,1000,60,0.567171997653,0.026053357987153258
3,1,1000,60,0.564811214479,0.02578038696652215
4,1,1000,60,0.5660953697,0.025407949572904796
5,1,1000,60,0.56476619328,0.025427905541740355
6,1,1000,60,0.566145927096,0.02641325627533732
7,1,1000,60,0.566780435247,0.026289273355233154
8,1,1000,60,0.566855405387,0.026182440420446127
9,1,1000,60,0.564099391121,0.026206634193121442
10,1,1000,60,0.568399166696,0.025898775749963958
11,1,1000,60,0.565472681887,0.02586582205493971
12,1,1000,60,0.566423795942,0.026375349403315845
13,1,1000,60,0.566234607939,0.02562107691703221
14,1,1000,60,0.566837153591,0.025948729491026563
15,1,1000,60,0.56631940051,0.025432557174933198
16,1,1000,60,0.565539547733,0.024948647985760002
17,1,1000,60,0.566857323746,0.02518900551019085
18,1,1000,60,0.56619171184,0.026753520504823762
19,1,1000,60,0.566469894715,0.0262889203912892
20,1,1000,60,0.564590944163,0.027528780899427587
21,1,1000,60,0.563730978209,0.02542484352674587
22,1,1000,60,0.565646718401,0.02558117180130303
23,1,1000,60,0.569288054484,0.02498139908799421
24,1,1000,60,0.565231681496,0.02672555672948062
0,1,1000,70,0.5912095135,0.0250617483996565
1,1,1000,70,0.591836292531,0.024950186128344536
2,1,1000,70,0.593046016774,0.024329883638604676
3,1,1000,70,0.590799860991,0.02548476347638002
4,1,1000,70,0.591118706128,0.025797270380093953
5,1,1000,70,0.592527023335,0.024084237180842235
6,1,1000,70,0.589913159608,0.02479944520677769
7,1,1000,70,0.591909098021,0.02480342369235978
8,1,1000,70,0.592125056617,0.02508181456474409
9,1,1000,70,0.593616756734,0.023721714652129102
10,1,1000,70,0.591648268761,0.02428145811125184
11,1,1000,70,0.590366954907,0.025672996947625815
12,1,1000,70,0.589198150871,0.024704064453975463
13,1,1000,70,0.594003318131,0.02585183794576836
14,1,1000,70,0.591645995961,0.024683765037695347
15,1,1000,70,0.591265049708,0.025475425559412086
16,1,1000,70,0.590729636405,0.024200810453879448
17,1,1000,70,0.590667184562,0.023943978552670768
18,1,1000,70,0.589678795694,0.02349929381390672
19,1,1000,70,0.59346085754,0.024487950871327168
20,1,1000,70,0.593833303867,0.024530839160571184
21,1,1000,70,0.592102663737,0.025202715730563978
22,1,1000,70,0.589337922635,0.025519018564394893
23,1,1000,70,0.592162938766,0.02432439103987928
24,1,1000,70,0.59028094416,0.023990138111573394
0,1,1000,80,0.611576763047,0.022788590569609864
1,1,1000,80,0.610664944208,0.02427929730967526
2,1,1000,80,0.612284144342,0.02325088628680149
3,1,1000,80,0.6120141811,0.024929508806894148
4,1,1000,80,0.611038065615,0.023560528447783714
5,1,1000,80,0.61275605841,0.02361205709037559
6,1,1000,80,0.613113894406,0.024329711186977056
7,1,1000,80,0.613543707876,0.023255325378851895
8,1,1000,80,0.611472991996,0.02553928973054637
9,1,1000,80,0.613803026084,0.022882089556365774
10,1,1000,80,0.610790297296,0.024376110610328922
11,1,1000,80,0.610236810347,0.02379810398885836
12,1,1000,80,0.613581287402,0.023713470439768018
13,1,1000,80,0.613858677287,0.02353405726187356
14,1,1000,80,0.612400739983,0.024428125293369563
15,1,1000,80,0.612949477227,0.023969976680025977
16,1,1000,80,0.611610504327,0.02324452253584437
17,1,1000,80,0.612697283566,0.022657061383483442
18,1,1000,80,0.609645390418,0.02391134427260388
19,1,1000,80,0.612593666884,0.02343082983287883
20,1,1000,80,0.612372856263,0.022963240713838068
21,1,1000,80,0.610467140636,0.024675748976356025
22,1,1000,80,0.613904271409,0.022306380423281674
23,1,1000,80,0.611483525231,0.02317415860715503
24,1,1000,80,0.614013953489,0.023851635596177884
0,1,1000,90,0.627576431369,0.02398351559128717
1,1,1000,90,0.630405774264,0.022530408473512537
2,1,1000,90,0.630426444646,0.02235608106627943
3,1,1000,90,0.629204824929,0.02224148715673794
4,1,1000,90,0.630372856931,0.022725816282606327
5,1,1000,90,0.628161517587,0.024454905805178197
6,1,1000,90,0.630094879728,0.022102543921224613
7,1,1000,90,0.631484793547,0.023698788155984214
8,1,1000,90,0.631241211877,0.022857710580710074
9,1,1000,90,0.631782409713,0.022601585168293577
10,1,1000,90,0.629847736891,0.02229128983909784
11,1,1000,90,0.629136265652,0.021859495447048013
12,1,1000,90,0.630937162032,0.02225127085709482
13,1,1000,90,0.632396449579,0.02210842877586677
14,1,1000,90,0.629302420447,0.02368949905434983
15,1,1000,90,0.631196829464,0.023123141994168418
16,1,1000,90,0.629690506025,0.02241204528986583
17,1,1000,90,0.63048740374,0.022299860722480292
18,1,1000,90,0.629262500867,0.024321448329858553
19,1,1000,90,0.629952975152,0.02227214868776433
20,1,1000,90,0.630925079205,0.02255687064905548
21,1,1000,90,0.631016163692,0.023333769961474578
22,1,1000,90,0.631307175333,0.02256687037690693
23,1,1000,90,0.63046096586,0.023951800044426718
24,1,1000,90,0.631982958655,0.022680550429217558
0,1,1000,100,0.645142683684,0.022130817938323156
1,1,1000,100,0.647439217915,0.02086712434660248
2,1,1000,100,0.643227913963,0.021693724196447963
3,1,1000,100,0.643774353202,0.022483701326788293
4,1,1000,100,0.64715287202,0.022717777555185878
5,1,1000,100,0.646737700363,0.02085772165189937
6,1,1000,100,0.646801033543,0.022965807990989903
7,1,1000,100,0.645927497411,0.022399011256467215
8,1,1000,100,0.645330022995,0.021827699551188295
9,1,1000,100,0.643495390654,0.022663289668909202
10,1,1000,100,0.645104593747,0.02271067871561889
11,1,1000,100,0.644173651917,0.023451736734372786
12,1,1000,100,0.643155702862,0.022389175574600417
13,1,1000,100,0.645492015692,0.02136680735516605
14,1,1000,100,0.643080193167,0.023592442437685792
15,1,1000,100,0.644063196613,0.02349367640396518
16,1,1000,100,0.643815398631,0.022285450349750748
17,1,1000,100,0.645967172081,0.02312365893373457
18,1,1000,100,0.645253182772,0.02258450796137241
19,1,1000,100,0.645647907103,0.021470695632108173
20,1,1000,100,0.645168991306,0.022116094784721603
21,1,1000,100,0.645671577288,0.021772180831183405
22,1,1000,100,0.645477646069,0.022693106380257826
23,1,1000,100,0.644348432229,0.022121194245838298
24,1,1000,100,0.645392335593,0.02266600246132445
0,2,1000,20,0.420081048153,0.03686306596814507
