Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
1,1,100,100,0.301,15,5,20,60,0.75,0.25,0.42857142857142855,0.07692307692307693,0.9230769230769231,0.75
2,1,100,100,0.301,23,32,15,30,0.53,0.47,0.6052631578947368,0.5161290322580645,0.4838709677419355,0.41818181818181815
3,1,100,100,0.301,28,22,28,22,0.5,0.5,0.5,0.5,0.5,0.56
4,1,100,100,0.301,34,14,28,24,0.58,0.42,0.5483870967741935,0.3684210526315789,0.631578947368421,0.7083333333333334
5,1,100,100,0.301,37,13,26,24,0.61,0.39,0.5873015873015873,0.35135135135135137,0.6486486486486487,0.74
6,1,100,100,0.301,33,22,18,27,0.6,0.4,0.6470588235294118,0.4489795918367347,0.5510204081632653,0.6
7,1,100,100,0.301,24,6,38,32,0.56,0.44,0.3870967741935484,0.15789473684210525,0.8421052631578947,0.8
8,1,100,100,0.301,33,12,24,31,0.64,0.36,0.5789473684210527,0.27906976744186046,0.7209302325581395,0.7333333333333333
9,1,100,100,0.301,30,15,24,31,0.61,0.39,0.5555555555555556,0.32608695652173914,0.6739130434782609,0.6666666666666666
10,1,100,100,0.301,55,23,9,13,0.68,0.32,0.859375,0.6388888888888888,0.3611111111111111,0.7051282051282052
11,1,100,100,0.301,47,21,19,13,0.6,0.4,0.7121212121212122,0.6176470588235294,0.38235294117647056,0.6911764705882353
12,1,100,100,0.301,37,15,22,26,0.63,0.37,0.6271186440677966,0.36585365853658536,0.6341463414634146,0.7115384615384616
13,1,100,100,0.301,26,19,24,31,0.57,0.43,0.52,0.38,0.62,0.5777777777777777
14,1,100,100,0.301,16,16,30,38,0.54,0.46,0.34782608695652173,0.2962962962962963,0.7037037037037037,0.5
0,1,100,100,0.401,15,34,15,36,0.51,0.49,0.5,0.4857142857142857,0.5142857142857142,0.30612244897959184
1,1,100,100,0.401,47,30,8,15,0.62,0.38,0.8545454545454545,0.6666666666666666,0.3333333333333333,0.6103896103896104
2,1,100,100,0.401,29,19,16,36,0.65,0.35,0.6444444444444445,0.34545454545454546,0.6545454545454545,0.6041666666666666
3,1,100,100,0.401,53,24,12,11,0.64,0.36,0.8153846153846154,0.6857142857142857,0.3142857142857143,0.6883116883116883
4,1,100,100,0.401,39,26,8,27,0.66,0.34,0.8297872340425532,0.49056603773584906,0.5094339622641509,0.6
5,1,100,100,0.401,40,27,17,16,0.56,0.44,0.7017543859649122,0.627906976744186,0.37209302325581395,0.5970149253731343
6,1,100,100,0.401,46,23,17,14,0.6,0.4,0.7301587301587301,0.6216216216216216,0.3783783783783784,0.6666666666666666
7,1,100,100,0.401,11,5,37,47,0.58,0.42,0.22916666666666666,0.09615384615384616,0.9038461538461539,0.6875
8,1,100,100,0.401,19,7,40,34,0.53,0.47,0.3220338983050847,0.17073170731707318,0.8292682926829268,0.7307692307692307
9,1,100,100,0.401,13,9,36,42,0.55,0.45,0.2653061224489796,0.17647058823529413,0.8235294117647058,0.5909090909090909
10,1,100,100,0.401,51,19,10,20,0.71,0.29,0.8360655737704918,0.48717948717948717,0.5128205128205128,0.7285714285714285
11,1,100,100,0.401,53,39,2,6,0.59,0.41,0.9636363636363636,0.8666666666666667,0.13333333333333333,0.5760869565217391
12,1,100,100,0.401,37,16,26,21,0.58,0.42,0.5873015873015873,0.43243243243243246,0.5675675675675675,0.6981132075471698
13,1,100,100,0.401,17,11,26,46,0.63,0.37,0.3953488372093023,0.19298245614035087,0.8070175438596491,0.6071428571428571
14,1,100,100,0.401,45,34,9,12,0.57,0.43,0.8333333333333334,0.7391304347826086,0.2608695652173913,0.569620253164557
0,1,100,100,0.501,45,33,6,16,0.61,0.39,0.8823529411764706,0.673469387755102,0.32653061224489793,0.5769230769230769
1,1,100,100,0.501,5,4,26,65,0.7,0.3,0.16129032258064516,0.057971014492753624,0.9420289855072463,0.5555555555555556
2,1,100,100,0.501,34,34,13,19,0.53,0.47,0.723404255319149,0.6415094339622641,0.3584905660377358,0.5
3,1,100,100,0.501,12,5,38,45,0.57,0.43,0.24,0.1,0.9,0.7058823529411765
4,1,100,100,0.501,39,41,5,15,0.54,0.46,0.8863636363636364,0.7321428571428571,0.26785714285714285,0.4875
5,1,100,100,0.501,35,17,13,35,0.7,0.3,0.7291666666666666,0.3269230769230769,0.6730769230769231,0.6730769230769231
6,1,100,100,0.501,25,19,22,34,0.59,0.41,0.5319148936170213,0.3584905660377358,0.6415094339622641,0.5681818181818182
7,1,100,100,0.501,27,24,16,33,0.6,0.4,0.627906976744186,0.42105263157894735,0.5789473684210527,0.5294117647058824
8,1,100,100,0.501,45,34,10,11,0.56,0.44,0.8181818181818182,0.7555555555555555,0.24444444444444444,0.569620253164557
9,1,100,100,0.501,29,21,14,36,0.65,0.35,0.6744186046511628,0.3684210526315789,0.631578947368421,0.58
10,1,100,100,0.501,38,19,21,22,0.6,0.4,0.6440677966101694,0.4634146341463415,0.5365853658536586,0.6666666666666666
11,1,100,100,0.501,25,12,25,38,0.63,0.37,0.5,0.24,0.76,0.6756756756756757
12,1,100,100,0.501,28,8,24,40,0.68,0.32,0.5384615384615384,0.16666666666666666,0.8333333333333334,0.7777777777777778
13,1,100,100,0.501,35,26,20,19,0.54,0.46,0.6363636363636364,0.5777777777777777,0.4222222222222222,0.5737704918032787
14,1,100,100,0.501,15,8,34,43,0.58,0.42,0.30612244897959184,0.1568627450980392,0.8431372549019608,0.6521739130434783
0,1,100,100,0.601,35,20,19,26,0.61,0.39,0.6481481481481481,0.43478260869565216,0.5652173913043478,0.6363636363636364
1,1,100,100,0.601,35,20,22,23,0.58,0.42,0.6140350877192983,0.46511627906976744,0.5348837209302325,0.6363636363636364
2,1,100,100,0.601,36,23,24,17,0.53,0.47,0.6,0.575,0.425,0.6101694915254238
3,1,100,100,0.601,16,12,20,52,0.68,0.32,0.4444444444444444,0.1875,0.8125,0.5714285714285714
4,1,100,100,0.601,31,25,19,25,0.56,0.44,0.62,0.5,0.5,0.5535714285714286
5,1,100,100,0.601,42,31,9,18,0.6,0.4,0.8235294117647058,0.6326530612244898,0.3673469387755102,0.5753424657534246
6,1,100,100,0.601,44,30,4,22,0.66,0.34,0.9166666666666666,0.5769230769230769,0.4230769230769231,0.5945945945945946
7,1,100,100,0.601,31,18,18,33,0.64,0.36,0.6326530612244898,0.35294117647058826,0.6470588235294118,0.6326530612244898
8,1,100,100,0.601,11,9,34,46,0.57,0.43,0.24444444444444444,0.16363636363636364,0.8363636363636363,0.55
9,1,100,100,0.601,42,26,15,17,0.59,0.41,0.7368421052631579,0.6046511627906976,0.3953488372093023,0.6176470588235294
10,1,100,100,0.601,35,24,20,21,0.56,0.44,0.6363636363636364,0.5333333333333333,0.4666666666666667,0.5932203389830508
11,1,100,100,0.601,7,6,33,54,0.61,0.39,0.175,0.1,0.9,0.5384615384615384
12,1,100,100,0.601,41,24,16,19,0.6,0.4,0.7192982456140351,0.5581395348837209,0.4418604651162791,0.6307692307692307
13,1,100,100,0.601,25,5,37,33,0.58,0.42,0.4032258064516129,0.13157894736842105,0.868421052631579,0.8333333333333334
14,1,100,100,0.601,47,13,23,17,0.64,0.36,0.6714285714285714,0.43333333333333335,0.5666666666666667,0.7833333333333333
0,1,100,100,0.701,37,18,17,28,0.65,0.35,0.6851851851851852,0.391304347826087,0.6086956521739131,0.6727272727272727
1,1,100,100,0.701,25,20,24,31,0.56,0.44,0.5102040816326531,0.39215686274509803,0.6078431372549019,0.5555555555555556
2,1,100,100,0.701,40,30,9,21,0.61,0.39,0.8163265306122449,0.5882352941176471,0.4117647058823529,0.5714285714285714
3,1,100,100,0.701,20,13,21,46,0.66,0.34,0.4878048780487805,0.22033898305084745,0.7796610169491526,0.6060606060606061
4,1,100,100,0.701,56,34,2,8,0.64,0.36,0.9655172413793104,0.8095238095238095,0.19047619047619047,0.6222222222222222
5,1,100,100,0.701,19,15,16,50,0.69,0.31,0.5428571428571428,0.23076923076923078,0.7692307692307693,0.5588235294117647
6,1,100,100,0.701,27,12,21,40,0.67,0.33,0.5625,0.23076923076923078,0.7692307692307693,0.6923076923076923
7,1,100,100,0.701,33,34,16,17,0.5,0.5,0.673469387755102,0.6666666666666666,0.3333333333333333,0.4925373134328358
8,1,100,100,0.701,17,8,29,46,0.63,0.37,0.3695652173913043,0.14814814814814814,0.8518518518518519,0.68
9,1,100,100,0.701,31,20,23,26,0.57,0.43,0.5740740740740741,0.43478260869565216,0.5652173913043478,0.6078431372549019
10,1,100,100,0.701,16,6,36,42,0.58,0.42,0.3076923076923077,0.125,0.875,0.7272727272727273
11,1,100,100,0.701,28,16,22,34,0.62,0.38,0.56,0.32,0.68,0.6363636363636364
12,1,100,100,0.701,21,9,21,49,0.7,0.3,0.5,0.15517241379310345,0.8448275862068966,0.7
13,1,100,100,0.701,54,34,4,8,0.62,0.38,0.9310344827586207,0.8095238095238095,0.19047619047619047,0.6136363636363636
14,1,100,100,0.701,19,7,32,42,0.61,0.39,0.37254901960784315,0.14285714285714285,0.8571428571428571,0.7307692307692307
0,1,300,100,0.001,33,18,18,31,0.64,0.36,0.6470588235294118,0.3673469387755102,0.6326530612244898,0.6470588235294118
1,1,300,100,0.001,35,37,5,23,0.58,0.42,0.875,0.6166666666666667,0.38333333333333336,0.4861111111111111
2,1,300,100,0.001,21,15,28,36,0.57,0.43,0.42857142857142855,0.29411764705882354,0.7058823529411765,0.5833333333333334
3,1,300,100,0.001,25,21,15,39,0.64,0.36,0.625,0.35,0.65,0.5434782608695652
4,1,300,100,0.001,15,11,31,43,0.58,0.42,0.32608695652173914,0.2037037037037037,0.7962962962962963,0.5769230769230769
5,1,300,100,0.001,28,25,26,21,0.49,0.51,0.5185185185185185,0.5434782608695652,0.45652173913043476,0.5283018867924528
6,1,300,100,0.001,29,28,21,22,0.51,0.49,0.58,0.56,0.44,0.5087719298245614
7,1,300,100,0.001,42,21,16,21,0.63,0.37,0.7241379310344828,0.5,0.5,0.6666666666666666
8,1,300,100,0.001,35,39,12,14,0.49,0.51,0.7446808510638298,0.7358490566037735,0.2641509433962264,0.47297297297297297
9,1,300,100,0.001,31,24,12,33,0.64,0.36,0.7209302325581395,0.42105263157894735,0.5789473684210527,0.5636363636363636
10,1,300,100,0.001,27,27,18,28,0.55,0.45,0.6,0.4909090909090909,0.509090909090909,0.5
11,1,300,100,0.001,25,20,16,39,0.64,0.36,0.6097560975609756,0.3389830508474576,0.6610169491525424,0.5555555555555556
12,1,300,100,0.001,24,24,21,31,0.55,0.45,0.5333333333333333,0.43636363636363634,0.5636363636363636,0.5
13,1,300,100,0.001,25,9,34,32,0.57,0.43,0.423728813559322,0.21951219512195122,0.7804878048780488,0.7352941176470589
14,1,300,100,0.001,40,35,10,15,0.55,0.45,0.8,0.7,0.3,0.5333333333333333
0,1,300,100,0.101,34,44,4,18,0.52,0.48,0.8947368421052632,0.7096774193548387,0.2903225806451613,0.4358974358974359
1,1,300,100,0.101,19,5,41,35,0.54,0.46,0.31666666666666665,0.125,0.875,0.7916666666666666
2,1,300,100,0.101,20,5,34,41,0.61,0.39,0.37037037037037035,0.10869565217391304,0.8913043478260869,0.8
3,1,300,100,0.101,25,20,23,32,0.57,0.43,0.5208333333333334,0.38461538461538464,0.6153846153846154,0.5555555555555556
4,1,300,100,0.101,21,13,35,31,0.52,0.48,0.375,0.29545454545454547,0.7045454545454546,0.6176470588235294
5,1,300,100,0.101,29,26,23,22,0.51,0.49,0.5576923076923077,0.5416666666666666,0.4583333333333333,0.5272727272727272
6,1,300,100,0.101,32,25,26,17,0.49,0.51,0.5517241379310345,0.5952380952380952,0.40476190476190477,0.5614035087719298
7,1,300,100,0.101,25,23,27,25,0.5,0.5,0.4807692307692308,0.4791666666666667,0.5208333333333334,0.5208333333333334
8,1,300,100,0.101,31,24,14,31,0.62,0.38,0.6888888888888889,0.43636363636363634,0.5636363636363636,0.5636363636363636
9,1,300,100,0.101,37,19,21,23,0.6,0.4,0.6379310344827587,0.4523809523809524,0.5476190476190477,0.6607142857142857
10,1,300,100,0.101,14,9,41,36,0.5,0.5,0.2545454545454545,0.2,0.8,0.6086956521739131
11,1,300,100,0.101,24,23,26,27,0.51,0.49,0.48,0.46,0.54,0.5106382978723404
12,1,300,100,0.101,38,37,13,12,0.5,0.5,0.7450980392156863,0.7551020408163265,0.24489795918367346,0.5066666666666667
13,1,300,100,0.101,27,28,14,31,0.58,0.42,0.6585365853658537,0.4745762711864407,0.5254237288135594,0.4909090909090909
14,1,300,100,0.101,22,23,19,36,0.58,0.42,0.5365853658536586,0.3898305084745763,0.6101694915254238,0.4888888888888889
0,1,300,100,0.201,29,25,24,22,0.51,0.49,0.5471698113207547,0.5319148936170213,0.46808510638297873,0.5370370370370371
1,1,300,100,0.201,40,40,4,16,0.56,0.44,0.9090909090909091,0.7142857142857143,0.2857142857142857,0.5
2,1,300,100,0.201,26,28,18,28,0.54,0.46,0.5909090909090909,0.5,0.5,0.48148148148148145
3,1,300,100,0.201,25,23,25,27,0.52,0.48,0.5,0.46,0.54,0.5208333333333334
4,1,300,100,0.201,39,34,5,22,0.61,0.39,0.8863636363636364,0.6071428571428571,0.39285714285714285,0.5342465753424658
5,1,300,100,0.201,31,15,25,29,0.6,0.4,0.5535714285714286,0.3409090909090909,0.6590909090909091,0.6739130434782609
6,1,300,100,0.201,15,7,34,44,0.59,0.41,0.30612244897959184,0.13725490196078433,0.8627450980392157,0.6818181818181818
7,1,300,100,0.201,46,13,18,23,0.69,0.31,0.71875,0.3611111111111111,0.6388888888888888,0.7796610169491526
8,1,300,100,0.201,26,29,17,28,0.54,0.46,0.6046511627906976,0.5087719298245614,0.49122807017543857,0.4727272727272727
9,1,300,100,0.201,46,28,9,17,0.63,0.37,0.8363636363636363,0.6222222222222222,0.37777777777777777,0.6216216216216216
10,1,300,100,0.201,27,29,14,30,0.57,0.43,0.6585365853658537,0.4915254237288136,0.5084745762711864,0.48214285714285715
11,1,300,100,0.201,53,20,8,19,0.72,0.28,0.8688524590163934,0.5128205128205128,0.48717948717948717,0.726027397260274
12,1,300,100,0.201,42,29,9,20,0.62,0.38,0.8235294117647058,0.5918367346938775,0.40816326530612246,0.5915492957746479
13,1,300,100,0.201,36,33,9,22,0.58,0.42,0.8,0.6,0.4,0.5217391304347826
14,1,300,100,0.201,29,27,18,26,0.55,0.45,0.6170212765957447,0.5094339622641509,0.49056603773584906,0.5178571428571429
0,1,300,100,0.301,31,27,23,19,0.5,0.5,0.5740740740740741,0.5869565217391305,0.41304347826086957,0.5344827586206896
1,1,300,100,0.301,27,17,18,38,0.65,0.35,0.6,0.3090909090909091,0.6909090909090909,0.6136363636363636
2,1,300,100,0.301,36,21,14,29,0.65,0.35,0.72,0.42,0.58,0.631578947368421
3,1,300,100,0.301,30,14,17,39,0.69,0.31,0.6382978723404256,0.2641509433962264,0.7358490566037735,0.6818181818181818
4,1,300,100,0.301,21,7,37,35,0.56,0.44,0.3620689655172414,0.16666666666666666,0.8333333333333334,0.75
5,1,300,100,0.301,23,26,24,27,0.5,0.5,0.48936170212765956,0.49056603773584906,0.5094339622641509,0.46938775510204084
6,1,300,100,0.301,41,30,12,17,0.58,0.42,0.7735849056603774,0.6382978723404256,0.3617021276595745,0.5774647887323944
7,1,300,100,0.301,23,23,27,27,0.5,0.5,0.46,0.46,0.54,0.5
8,1,300,100,0.301,18,16,26,40,0.58,0.42,0.4090909090909091,0.2857142857142857,0.7142857142857143,0.5294117647058824
9,1,300,100,0.301,51,30,9,10,0.61,0.39,0.85,0.75,0.25,0.6296296296296297
10,1,300,100,0.301,45,38,8,9,0.54,0.46,0.8490566037735849,0.8085106382978723,0.19148936170212766,0.5421686746987951
11,1,300,100,0.301,24,23,24,29,0.53,0.47,0.5,0.4423076923076923,0.5576923076923077,0.5106382978723404
12,1,300,100,0.301,15,8,35,42,0.57,0.43,0.3,0.16,0.84,0.6521739130434783
13,1,300,100,0.301,26,15,29,30,0.56,0.44,0.4727272727272727,0.3333333333333333,0.6666666666666666,0.6341463414634146
14,1,300,100,0.301,13,8,24,55,0.68,0.32,0.35135135135135137,0.12698412698412698,0.873015873015873,0.6190476190476191
0,1,300,100,0.401,28,21,24,27,0.55,0.45,0.5384615384615384,0.4375,0.5625,0.5714285714285714
1,1,300,100,0.401,18,3,27,52,0.7,0.3,0.4,0.05454545454545454,0.9454545454545454,0.8571428571428571
2,1,300,100,0.401,22,20,17,41,0.63,0.37,0.5641025641025641,0.32786885245901637,0.6721311475409836,0.5238095238095238
3,1,300,100,0.401,32,25,16,27,0.59,0.41,0.6666666666666666,0.4807692307692308,0.5192307692307693,0.5614035087719298
4,1,300,100,0.401,11,8,43,38,0.49,0.51,0.2037037037037037,0.17391304347826086,0.8260869565217391,0.5789473684210527
