TrialNumber,Metric,NormalizationMetric,K,N,MinDistance,MaxDistance,Mean,StandardDeviation
4,1,2,500,5,0.293503441361,2.0,0.146751720681,0.04414470102005679
5,1,2,500,5,0.310017987172,2.0,0.155008993586,0.04349743489162858
6,1,2,500,5,0.300347409334,2.0,0.150173704667,0.04681818494992245
7,1,2,500,5,0.30012986285,2.0,0.150064931425,0.04138870106249528
8,1,2,500,5,0.299807709131,2.0,0.149903854565,0.04331077388830829
9,1,2,500,5,0.307233482642,2.0,0.153616741321,0.04478051075039425
0,1,2,500,6,0.378985156739,2.0,0.189492578369,0.04865134621643328
1,1,2,500,6,0.38359168983,2.0,0.191795844915,0.04777429376065903
2,1,2,500,6,0.377345020317,2.0,0.188672510158,0.045845166206115666
3,1,2,500,6,0.3862465818,2.0,0.1931232909,0.04442434067295791
4,1,2,500,6,0.395440708668,2.0,0.197720354334,0.048868196915811485
5,1,2,500,6,0.378450245754,2.0,0.189225122877,0.04940210360476948
6,1,2,500,6,0.38294923568,2.0,0.19147461784,0.048439875504048824
7,1,2,500,6,0.382090401963,2.0,0.191045200981,0.04745761571308606
8,1,2,500,6,0.377869682349,2.0,0.188934841175,0.04724306178988519
9,1,2,500,6,0.387772066256,2.0,0.193886033128,0.04699291110361567
0,1,2,500,7,0.453904755313,1.99949471374,0.227008768341,0.04623288143506666
1,1,2,500,7,0.453779128187,1.99956557361,0.226941384999,0.04764301128345111
2,1,2,500,7,0.451867231786,2.0,0.225933615893,0.04951817649092425
3,1,2,500,7,0.458365375602,1.99989089381,0.22919566997,0.0477764376554171
4,1,2,500,7,0.450592255819,1.99953020634,0.225349797274,0.046648693561499026
5,1,2,500,7,0.460547251716,1.99992025186,0.230283720308,0.0442116616131404
6,1,2,500,7,0.455670396668,2.0,0.227835198334,0.04634608908061734
7,1,2,500,7,0.454475705589,1.99990954033,0.227249178092,0.049398012807262984
8,1,2,500,7,0.446309299245,1.99969420528,0.223184260891,0.04832832061809588
9,1,2,500,7,0.450071139269,1.99963802607,0.225076838036,0.04801100577924267
0,1,2,500,8,0.504893826602,1.99828926947,0.252665366286,0.048816067300159374
1,1,2,500,8,0.51534695063,1.99636585674,0.258127716814,0.04726971119372941
2,1,2,500,8,0.517151979955,1.99714801119,0.258962530247,0.04738490628894053
3,1,2,500,8,0.513304116772,1.9987426438,0.256825067681,0.04662686241301184
4,1,2,500,8,0.504162023528,1.99739061933,0.252410415332,0.04808175628573728
5,1,2,500,8,0.511027448402,1.99837789401,0.255723405126,0.04521257776424547
6,1,2,500,8,0.504171863041,1.99785839856,0.252355947248,0.049658275097443076
7,1,2,500,8,0.510626447591,1.99776003216,0.25558111881,0.04739389429235415
8,1,2,500,8,0.500881761584,1.99713149477,0.2508190645,0.04722243662833668
9,1,2,500,8,0.514937266347,1.99791510391,0.257737592431,0.047940609428310854
0,1,2,500,9,0.560179626967,1.99313930526,0.281073327716,0.0463306687710395
1,1,2,500,9,0.565976776515,1.9904215899,0.284367489662,0.04634765657551863
2,1,2,500,9,0.552914537458,1.99125966513,0.277693816634,0.04870536634976239
3,1,2,500,9,0.552472681852,1.99174598007,0.277372299391,0.04490245616571529
4,1,2,500,9,0.566416964539,1.99055884927,0.284531314425,0.04426933182066433
5,1,2,500,9,0.555117938463,1.99268104376,0.27858484927,0.04814439692249249
6,1,2,500,9,0.557249403947,1.99208812146,0.279718558196,0.04723626157014612
7,1,2,500,9,0.568007895057,1.99263888775,0.285030999192,0.04366608451192756
8,1,2,500,9,0.554989332129,1.99216322864,0.278598854699,0.04633737770958821
9,1,2,500,9,0.562402246556,1.99258831275,0.282264813626,0.04343206484999556
