Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
7,2,300,100,0.35,35,25,17,23,0.58,0.42,0.6730769230769231,0.5208333333333334,0.4791666666666667,0.5833333333333334
8,2,300,100,0.35,28,5,23,44,0.72,0.28,0.5490196078431373,0.10204081632653061,0.8979591836734694,0.8484848484848485
9,2,300,100,0.35,37,31,10,22,0.59,0.41,0.7872340425531915,0.5849056603773585,0.41509433962264153,0.5441176470588235
0,2,300,100,0.4,31,22,16,31,0.62,0.38,0.6595744680851063,0.41509433962264153,0.5849056603773585,0.5849056603773585
1,2,300,100,0.4,11,8,32,49,0.6,0.4,0.2558139534883721,0.14035087719298245,0.8596491228070176,0.5789473684210527
2,2,300,100,0.4,20,12,30,38,0.58,0.42,0.4,0.24,0.76,0.625
3,2,300,100,0.4,25,24,22,29,0.54,0.46,0.5319148936170213,0.4528301886792453,0.5471698113207547,0.5102040816326531
4,2,300,100,0.4,37,26,16,21,0.58,0.42,0.6981132075471698,0.5531914893617021,0.44680851063829785,0.5873015873015873
5,2,300,100,0.4,33,25,19,23,0.56,0.44,0.6346153846153846,0.5208333333333334,0.4791666666666667,0.5689655172413793
6,2,300,100,0.4,17,8,39,36,0.53,0.47,0.30357142857142855,0.18181818181818182,0.8181818181818182,0.68
7,2,300,100,0.4,28,4,35,33,0.61,0.39,0.4444444444444444,0.10810810810810811,0.8918918918918919,0.875
8,2,300,100,0.4,12,1,29,58,0.7,0.3,0.2926829268292683,0.01694915254237288,0.9830508474576272,0.9230769230769231
9,2,300,100,0.4,57,29,5,9,0.66,0.34,0.9193548387096774,0.7631578947368421,0.23684210526315788,0.6627906976744186
0,2,300,100,0.45,15,19,31,35,0.5,0.5,0.32608695652173914,0.35185185185185186,0.6481481481481481,0.4411764705882353
1,2,300,100,0.45,18,7,43,32,0.5,0.5,0.29508196721311475,0.1794871794871795,0.8205128205128205,0.72
2,2,300,100,0.45,29,20,21,30,0.59,0.41,0.58,0.4,0.6,0.5918367346938775
3,2,300,100,0.45,23,10,33,34,0.57,0.43,0.4107142857142857,0.22727272727272727,0.7727272727272727,0.696969696969697
4,2,300,100,0.45,40,13,24,23,0.63,0.37,0.625,0.3611111111111111,0.6388888888888888,0.7547169811320755
5,2,300,100,0.45,30,25,21,24,0.54,0.46,0.5882352941176471,0.5102040816326531,0.4897959183673469,0.5454545454545454
6,2,300,100,0.45,25,10,31,34,0.59,0.41,0.44642857142857145,0.22727272727272727,0.7727272727272727,0.7142857142857143
7,2,300,100,0.45,17,7,48,28,0.45,0.55,0.26153846153846155,0.2,0.8,0.7083333333333334
8,2,300,100,0.45,30,17,24,29,0.59,0.41,0.5555555555555556,0.3695652173913043,0.6304347826086957,0.6382978723404256
9,2,300,100,0.45,27,20,23,30,0.57,0.43,0.54,0.4,0.6,0.574468085106383
0,2,300,100,0.5,14,15,26,45,0.59,0.41,0.35,0.25,0.75,0.4827586206896552
1,2,300,100,0.5,23,21,23,33,0.56,0.44,0.5,0.3888888888888889,0.6111111111111112,0.5227272727272727
2,2,300,100,0.5,36,36,10,18,0.54,0.46,0.782608695652174,0.6666666666666666,0.3333333333333333,0.5
3,2,300,100,0.5,26,18,22,34,0.6,0.4,0.5416666666666666,0.34615384615384615,0.6538461538461539,0.5909090909090909
4,2,300,100,0.5,24,15,26,35,0.59,0.41,0.48,0.3,0.7,0.6153846153846154
5,2,300,100,0.5,27,16,23,34,0.61,0.39,0.54,0.32,0.68,0.627906976744186
6,2,300,100,0.5,43,32,12,13,0.56,0.44,0.7818181818181819,0.7111111111111111,0.28888888888888886,0.5733333333333334
7,2,300,100,0.5,40,25,18,17,0.57,0.43,0.6896551724137931,0.5952380952380952,0.40476190476190477,0.6153846153846154
8,2,300,100,0.5,34,20,18,28,0.62,0.38,0.6538461538461539,0.4166666666666667,0.5833333333333334,0.6296296296296297
9,2,300,100,0.5,35,28,13,24,0.59,0.41,0.7291666666666666,0.5384615384615384,0.46153846153846156,0.5555555555555556
0,2,300,100,0.55,27,18,22,33,0.6,0.4,0.5510204081632653,0.35294117647058826,0.6470588235294118,0.6
1,2,300,100,0.55,26,28,20,26,0.52,0.48,0.5652173913043478,0.5185185185185185,0.48148148148148145,0.48148148148148145
2,2,300,100,0.55,22,8,32,38,0.6,0.4,0.4074074074074074,0.17391304347826086,0.8260869565217391,0.7333333333333333
3,2,300,100,0.55,27,13,32,28,0.55,0.45,0.4576271186440678,0.3170731707317073,0.6829268292682927,0.675
