TrialNumber,Metric,K,N,Mean,StandardDeviation
int,str,int,int,float,float
17,1,50,10,0.388741095476,0.051828152121596395
18,1,50,10,0.350226614078,0.0615334067875874
19,1,50,10,0.398288623952,0.05253734536224513
20,1,50,10,0.367739643527,0.056208046256477254
21,1,50,10,0.360226064624,0.07590694867977534
22,1,50,10,0.369550554263,0.07623980421081993
23,1,50,10,0.376762985656,0.06244437288664283
24,1,50,10,0.363700692432,0.051709856883749745
0,1,500,10,0.247465480257,0.036854596069747406
1,1,500,10,0.246209023034,0.03639177411929379
2,1,500,10,0.250030357136,0.03962945931298344
3,1,500,10,0.247901334157,0.03757260309280952
4,1,500,10,0.251578710809,0.0374530321967466
5,1,500,10,0.245150369469,0.03819689092332475
6,1,500,10,0.247135279941,0.036621900600705644
7,1,500,10,0.24666526759,0.03697134665094663
8,1,500,10,0.253131116515,0.037851046337867476
9,1,500,10,0.243717950385,0.03812216096579575
10,1,500,10,0.245924228041,0.03948082636107184
11,1,500,10,0.25036844522,0.036509602051226074
12,1,500,10,0.250815685174,0.03791540823880537
13,1,500,10,0.249809046615,0.03796738707400948
14,1,500,10,0.250538470554,0.03896568489306562
15,1,500,10,0.247905326413,0.038762233287944814
16,1,500,10,0.25439985852,0.03532929971410181
17,1,500,10,0.251373223574,0.03891392908926295
18,1,500,10,0.246850207211,0.03879634984171421
19,1,500,10,0.245779302319,0.038581981806489835
20,1,500,10,0.24836898281,0.03566402533246473
21,1,500,10,0.250106241568,0.034270766426429226
22,1,500,10,0.245033171868,0.03816193202774897
23,1,500,10,0.252063140097,0.0381218044599911
24,1,500,10,0.249376593228,0.03706371158958673
0,1,5,11,0.647503177804,0.12551218307840456
1,1,5,11,0.55278002229,0.05788429247168322
2,1,5,11,0.633484449867,0.19263872113827654
3,1,5,11,0.597779067885,0.09266083672063585
4,1,5,11,0.645337390714,0.11800421025656699
5,1,5,11,0.700915408967,0.0433024762326627
6,1,5,11,0.474997203769,0.1888815694843151
7,1,5,11,0.59544371801,0.17551991268051229
8,1,5,11,0.658741222353,0.1325047617082701
9,1,5,11,0.724522312263,0.12200261070453439
10,1,5,11,0.719225888855,0.05180151124508617
11,1,5,11,0.549924470324,0.0904874811773117
12,1,5,11,0.674047750212,0.12595551977370484
13,1,5,11,0.520350203339,0.11100433792930056
14,1,5,11,0.618823780153,0.10570475939095424
15,1,5,11,0.658117341572,0.053006905600490734
16,1,5,11,0.695812273429,0.1640357895375568
17,1,5,11,0.624381821185,0.1343783906617634
18,1,5,11,0.666745705466,0.06361411195588751
19,1,5,11,0.698873481633,0.0874777471272844
20,1,5,11,0.683784755909,0.10775921010853064
21,1,5,11,0.601447117138,0.12213274121207988
22,1,5,11,0.684303108055,0.09324039578841119
23,1,5,11,0.593814637961,0.037533674478488606
24,1,5,11,0.606877952874,0.10701488815232492
0,1,50,11,0.392308735647,0.0577509590500036
1,1,50,11,0.387894803644,0.0676992803858513
2,1,50,11,0.401449209849,0.057831656999243065
3,1,50,11,0.394618264054,0.06180541553495444
4,1,50,11,0.407774745918,0.05290526930065422
5,1,50,11,0.386011913879,0.056878948945373764
6,1,50,11,0.382672338139,0.06076305220484978
7,1,50,11,0.381531217582,0.07128775235734267
8,1,50,11,0.399840904719,0.060847431347963145
9,1,50,11,0.394843455926,0.06737224535800983
10,1,50,11,0.395823070966,0.06458542215424429
11,1,50,11,0.409346762834,0.062278682605308076
12,1,50,11,0.410317533401,0.06861897942857648
13,1,50,11,0.399087404443,0.05900364255599071
14,1,50,11,0.381630304237,0.0648661358589624
15,1,50,11,0.380365573475,0.07749276032797224
16,1,50,11,0.374675160945,0.0561669582305579
17,1,50,11,0.380531683079,0.058926792720614234
18,1,50,11,0.401403903061,0.05696564255200529
19,1,50,11,0.379425482986,0.05231772584871682
20,1,50,11,0.380496888777,0.07415297891218961
21,1,50,11,0.406485264137,0.052573570228337994
22,1,50,11,0.390772463604,0.053989505827636564
23,1,50,11,0.38225900153,0.05724875584857513
