TrialNumber,Metric,NormalizationMetric,K,N,Mean,StandardDeviation
str,str,str,int,int,float,float
0,inf,2,500,6,0.198915058,0.050655299
1,inf,2,500,6,0.195815566,0.050485107
2,inf,2,500,6,0.199754337,0.051954747
3,inf,2,500,6,0.19533583,0.047874548
4,inf,2,500,6,0.19992869,0.054260694
0,inf,2,500,7,0.240069231,0.052995146
1,inf,2,500,7,0.242431212,0.054580896
2,inf,2,500,7,0.240455306,0.052358407
3,inf,2,500,7,0.241845976,0.051821293
4,inf,2,500,7,0.242767227,0.055190182
0,inf,2,500,8,0.278818657,0.057732644
1,inf,2,500,8,0.272959419,0.052080479
2,inf,2,500,8,0.275470271,0.05463281
3,inf,2,500,8,0.282988379,0.055521512
4,inf,2,500,8,0.280804925,0.055990491
0,inf,2,500,9,0.30655523,0.059789981
1,inf,2,500,9,0.306332945,0.057577959
2,inf,2,500,9,0.31270151,0.058232125
3,inf,2,500,9,0.312049036,0.054974465
4,inf,2,500,9,0.314814811,0.055413923
0,inf,2,500,10,0.334967054,0.061917334
1,inf,2,500,10,0.331852465,0.056509537
2,inf,2,500,10,0.335336426,0.057317999
3,inf,2,500,10,0.336470317,0.055299751
4,inf,2,500,10,0.339809366,0.062600818
0,inf,2,500,20,0.510914444,0.051692985
1,inf,2,500,20,0.507912139,0.054211619
2,inf,2,500,20,0.498768588,0.052477894
3,inf,2,500,20,0.505511884,0.057009427
4,inf,2,500,20,0.51431408,0.049306593
0,inf,2,500,30,0.585907435,0.044647563
1,inf,2,500,30,0.583739424,0.046272034
2,inf,2,500,30,0.586324339,0.0428125
3,inf,2,500,30,0.590912902,0.044562515
4,inf,2,500,30,0.591803322,0.045690749
0,inf,2,500,40,0.63600757,0.039490294
1,inf,2,500,40,0.63832136,0.041429439
2,inf,2,500,40,0.633900185,0.040760084
3,inf,2,500,40,0.635386634,0.04188687
4,inf,2,500,40,0.632241715,0.040008294
0,inf,2,500,50,0.674869516,0.035688086
1,inf,2,500,50,0.671963302,0.036578305
2,inf,2,500,50,0.67206017,0.038316124
3,inf,2,500,50,0.6704591,0.037133416
4,inf,2,500,50,0.672998921,0.037147237
0,inf,2,500,60,0.695307288,0.033296469
1,inf,2,500,60,0.699466874,0.032469281
2,inf,2,500,60,0.695863623,0.033091743
3,inf,2,500,60,0.695744288,0.036993767
4,inf,2,500,60,0.694123687,0.03540753
0,inf,2,500,70,0.718860028,0.031764614
1,inf,2,500,70,0.716815818,0.031608983
2,inf,2,500,70,0.716638875,0.029730148
3,inf,2,500,70,0.711307775,0.036502973
4,inf,2,500,70,0.716423015,0.031894934
0,inf,2,500,80,0.735760302,0.026234862
1,inf,2,500,80,0.731898308,0.028534174
2,inf,2,500,80,0.733631125,0.028246759
3,inf,2,500,80,0.736179644,0.026924514
4,inf,2,500,80,0.729947304,0.030437999
0,inf,2,500,90,0.746239068,0.028294774
1,inf,2,500,90,0.751760403,0.028159695
2,inf,2,500,90,0.746632282,0.029184831
3,inf,2,500,90,0.747305319,0.028606499
4,inf,2,500,90,0.749615596,0.028939998
0,inf,2,500,100,0.761714392,0.026698439
1,inf,2,500,100,0.760819506,0.028318382
2,inf,2,500,100,0.759559034,0.02486409
3,inf,2,500,100,0.758570101,0.027324309
4,inf,2,500,100,0.759867259,0.026490584
