Trial,Metric,K,N,sigma,TruePositive,FalsePositive,FalseNegative,TrueNegative,Accuracy,MisclassificationRate,TruePositiveRate,FalsePositiveRate,Specificity,Precision
int,str,int,int,float,int,int,int,int,float,float,float,float,float,float
1,1,280,10,0.2,38,17,18,27,0.65,0.35,0.6785714285714286,0.38636363636363635,0.6136363636363636,0.6909090909090909
2,1,280,10,0.2,26,21,19,34,0.6,0.4,0.5777777777777777,0.38181818181818183,0.6181818181818182,0.5531914893617021
3,1,280,10,0.2,31,24,15,30,0.61,0.39,0.6739130434782609,0.4444444444444444,0.5555555555555556,0.5636363636363636
4,1,280,10,0.2,27,23,21,29,0.56,0.44,0.5625,0.4423076923076923,0.5576923076923077,0.54
5,1,280,10,0.2,24,20,15,41,0.65,0.35,0.6153846153846154,0.32786885245901637,0.6721311475409836,0.5454545454545454
6,1,280,10,0.2,32,16,18,34,0.66,0.34,0.64,0.32,0.68,0.6666666666666666
7,1,280,10,0.2,23,18,20,39,0.62,0.38,0.5348837209302325,0.3157894736842105,0.6842105263157895,0.5609756097560976
8,1,280,10,0.2,34,19,20,27,0.61,0.39,0.6296296296296297,0.41304347826086957,0.5869565217391305,0.6415094339622641
9,1,280,10,0.2,40,19,24,17,0.57,0.43,0.625,0.5277777777777778,0.4722222222222222,0.6779661016949152
0,1,280,10,0.25,36,16,12,36,0.72,0.28,0.75,0.3076923076923077,0.6923076923076923,0.6923076923076923
1,1,280,10,0.25,29,17,15,39,0.68,0.32,0.6590909090909091,0.30357142857142855,0.6964285714285714,0.6304347826086957
2,1,280,10,0.25,42,15,13,30,0.72,0.28,0.7636363636363637,0.3333333333333333,0.6666666666666666,0.7368421052631579
3,1,280,10,0.25,29,21,12,38,0.67,0.33,0.7073170731707317,0.3559322033898305,0.6440677966101694,0.58
4,1,280,10,0.25,32,13,21,34,0.66,0.34,0.6037735849056604,0.2765957446808511,0.723404255319149,0.7111111111111111
5,1,280,10,0.25,34,14,23,29,0.63,0.37,0.5964912280701754,0.32558139534883723,0.6744186046511628,0.7083333333333334
6,1,280,10,0.25,30,14,27,29,0.59,0.41,0.5263157894736842,0.32558139534883723,0.6744186046511628,0.6818181818181818
7,1,280,10,0.25,31,11,17,41,0.72,0.28,0.6458333333333334,0.21153846153846154,0.7884615384615384,0.7380952380952381
8,1,280,10,0.25,32,17,21,30,0.62,0.38,0.6037735849056604,0.3617021276595745,0.6382978723404256,0.6530612244897959
9,1,280,10,0.25,32,17,17,34,0.66,0.34,0.6530612244897959,0.3333333333333333,0.6666666666666666,0.6530612244897959
0,1,290,10,0.05,29,24,18,29,0.58,0.42,0.6170212765957447,0.4528301886792453,0.5471698113207547,0.5471698113207547
1,1,290,10,0.05,38,24,17,21,0.59,0.41,0.6909090909090909,0.5333333333333333,0.4666666666666667,0.6129032258064516
2,1,290,10,0.05,37,17,12,34,0.71,0.29,0.7551020408163265,0.3333333333333333,0.6666666666666666,0.6851851851851852
3,1,290,10,0.05,30,19,23,28,0.58,0.42,0.5660377358490566,0.40425531914893614,0.5957446808510638,0.6122448979591837
4,1,290,10,0.05,27,19,16,38,0.65,0.35,0.627906976744186,0.3333333333333333,0.6666666666666666,0.5869565217391305
5,1,290,10,0.05,40,11,14,35,0.75,0.25,0.7407407407407407,0.2391304347826087,0.7608695652173914,0.7843137254901961
6,1,290,10,0.05,35,15,17,33,0.68,0.32,0.6730769230769231,0.3125,0.6875,0.7
7,1,290,10,0.05,33,24,17,26,0.59,0.41,0.66,0.48,0.52,0.5789473684210527
8,1,290,10,0.05,32,13,22,33,0.65,0.35,0.5925925925925926,0.2826086956521739,0.717391304347826,0.7111111111111111
9,1,290,10,0.05,39,18,19,24,0.63,0.37,0.6724137931034483,0.42857142857142855,0.5714285714285714,0.6842105263157895
0,1,290,10,0.1,25,19,22,34,0.59,0.41,0.5319148936170213,0.3584905660377358,0.6415094339622641,0.5681818181818182
1,1,290,10,0.1,34,18,22,26,0.6,0.4,0.6071428571428571,0.4090909090909091,0.5909090909090909,0.6538461538461539
2,1,290,10,0.1,33,16,20,31,0.64,0.36,0.6226415094339622,0.3404255319148936,0.6595744680851063,0.673469387755102
3,1,290,10,0.1,33,16,12,39,0.72,0.28,0.7333333333333333,0.2909090909090909,0.7090909090909091,0.673469387755102
4,1,290,10,0.1,33,26,15,26,0.59,0.41,0.6875,0.5,0.5,0.559322033898305
5,1,290,10,0.1,32,22,17,29,0.61,0.39,0.6530612244897959,0.43137254901960786,0.5686274509803921,0.5925925925925926
6,1,290,10,0.1,34,13,15,38,0.72,0.28,0.6938775510204082,0.2549019607843137,0.7450980392156863,0.723404255319149
7,1,290,10,0.1,37,13,15,35,0.72,0.28,0.7115384615384616,0.2708333333333333,0.7291666666666666,0.74
8,1,290,10,0.1,41,13,17,29,0.7,0.3,0.7068965517241379,0.30952380952380953,0.6904761904761905,0.7592592592592593
9,1,290,10,0.1,21,20,15,44,0.65,0.35,0.5833333333333334,0.3125,0.6875,0.5121951219512195
0,1,290,10,0.15,25,32,9,34,0.59,0.41,0.7352941176470589,0.48484848484848486,0.5151515151515151,0.43859649122807015
1,1,290,10,0.15,27,19,16,38,0.65,0.35,0.627906976744186,0.3333333333333333,0.6666666666666666,0.5869565217391305
2,1,290,10,0.15,43,21,14,22,0.65,0.35,0.7543859649122807,0.4883720930232558,0.5116279069767442,0.671875
3,1,290,10,0.15,38,13,16,33,0.71,0.29,0.7037037037037037,0.2826086956521739,0.717391304347826,0.7450980392156863
4,1,290,10,0.15,24,11,27,38,0.62,0.38,0.47058823529411764,0.22448979591836735,0.7755102040816326,0.6857142857142857
5,1,290,10,0.15,32,20,8,40,0.72,0.28,0.8,0.3333333333333333,0.6666666666666666,0.6153846153846154
6,1,290,10,0.15,30,18,23,29,0.59,0.41,0.5660377358490566,0.3829787234042553,0.6170212765957447,0.625
7,1,290,10,0.15,31,29,12,28,0.59,0.41,0.7209302325581395,0.5087719298245614,0.49122807017543857,0.5166666666666667
8,1,290,10,0.15,42,17,23,18,0.6,0.4,0.6461538461538462,0.4857142857142857,0.5142857142857142,0.711864406779661
9,1,290,10,0.15,28,17,20,35,0.63,0.37,0.5833333333333334,0.3269230769230769,0.6730769230769231,0.6222222222222222
0,1,290,10,0.2,38,20,15,27,0.65,0.35,0.7169811320754716,0.425531914893617,0.574468085106383,0.6551724137931034
